id,name,emissions_per_unit,unit,category,tags,icon
6e18a9ab-3757-4f27-a3ba-080e52f6ef90,Online shopping delivery,2.341,activity,lifestyle,"[""online"",""shopping"",""delivery"",""parcel""]",lifestyle
71889fc2-4e9a-4700-9762-5a267d015bf1,Bus,0.10846,km-per_person,travel,"[""bus"",""travel"",""journey""]",bus
75775b89-e847-4c54-86f7-a073c2065632,Gym session,1.284,activity,lifestyle,"[""gym"",""exercise"",""fitness""]",lifestyle
76bf2ac0-4e1c-4c43-9209-3751123ae80a,Home Working,0.33378,hour,energy-home,"[""work"",""home"",""remote"",""working"",""wfh"",""home working""]",unknown
83cc04bf-397e-4739-9641-5483253793f4,Washing machine cycle,0.992,use,energy-home,"[""washing"",""machine"",""laundry"",""home""]",energy-home
87eef5f9-bf0f-4d73-9a5f-8571abb259b6,Streaming video (1 hour),0.824,activity,lifestyle,"[""streaming"",""video"",""watch"",""hour""]",lifestyle
98034453-c2bf-4754-89af-b6ee1903dc64,Car - (Petrol),0.1645,km,travel,"[""car"",""petrol"",""travel"",""journey""]",car
988e23d0-b339-444c-8083-3e7b71e75038,Lentil curry,1.231,item,food-drink,"[""lentil"",""curry"",""vegan""]",food-drink
99b65258-9920-4dcf-8b09-44ea3f897213,Motorbike,0.11367,km,travel,"[""motorbike"",""bike"",""travel"",""journey"",""petrol""]",motorbike
9a0dbbf1-87d3-4e4e-9051-b6d9ae794c70,Car - (Hybrid),0.12607,km,travel,"[""car"",""hybrid"",""travel"",""journey""]",car
a0b35b2c-52c1-4600-8c73-a3d7abc64752,Beef burger,6.841,item,food-drink,"[""beef"",""burger"",""food""]",food-drink
a0d2972d-3e69-40d4-90fe-5c4f769e6746,Pizza slice,1.884,item,food-drink,"[""pizza"",""cheese"",""slice""]",food-drink
a230ac12-c28c-46c6-8ffc-a4497829c8a1,Using air freshener spray,1.731,activity,lifestyle,"[""air"",""freshener"",""spray""]",lifestyle
a3d1906a-3219-4933-916a-56a8f00c25e9,Flight - (Short Haul),0.18592,km-per_person,travel,"[""flight"",""fly"",""short"",""haul"",""aeroplane"",""airplane"",""travel"",""journey""]",plane
ad71bc38-fdeb-4039-ac43-e98e6d733603,Chicken sandwich,3.311,item,food-drink,"[""chicken"",""sandwich"",""food""]",food-drink
ae0c8e70-0864-4e0b-ba3c-3a54ab3f1d14,TV use (1 hour),0.533,use,energy-home,"[""tv"",""watch"",""hour"",""home""]",energy-home
b0884168-e95e-4908-b999-da6d1e66b9bc,Boil Kettle,0.01138,cup,food-drink,"[""boil"",""water"",""kettle"",""tea"",""coffee"",""hot""]",kettle
b9ea2c55-96ea-476a-bef0-49dde1b8b654,Vegan salad,0.891,item,food-drink,"[""vegan"",""salad"",""plant"",""food""]",food-drink
bd42e959-db9f-42b7-a7b2-54112d50a723,Bottle of water,0.311,item,food-drink,"[""bottle"",""water"",""drink""]",food-drink
c1a352a8-8d39-489d-88d6-ae0da0ef3cd4,Cooling home,1.774,use,energy-home,"[""cooling"",""aircon"",""ac"",""home""]",energy-home
cd0ff19e-fd73-427f-84cf-5ba392add104,Weekend city break,6.421,activity,lifestyle,"[""city"",""break"",""trip"",""holiday""]",lifestyle
cde0419e-d5bf-426e-a4d1-467f54f1f8a9,Chocolate bar,1.721,item,food-drink,"[""chocolate"",""bar"",""sweet""]",food-drink
cef2edee-cf79-4d6c-98f0-54b90935d1b0,Flight - (Domestic),0.27257,km-per_person,travel,"[""flight"",""fly"",""domestic"",""haul"",""aeroplane"",""airplane"",""travel"",""journey""]",plane
d0a65511-111e-478b-ba99-244c5f02c243,LED lighting (1 hour),0.121,use,energy-home,"[""led"",""lighting"",""bulb"",""home""]",energy-home
d3b172dc-4dcc-4f2e-9ef1-5eddf7d1a3d1,Vacuuming,0.842,use,energy-home,"[""vacuum"",""cleaning"",""home""]",energy-home
d40ddb4c-0d11-4a0e-8bd3-710c5960b7b3,Oven use (1 hour),2.215,use,energy-home,"[""oven"",""cooking"",""bake"",""home""]",energy-home
da2c079c-0054-47cd-bb9c-147408f33f3d,Use tumble dryer,1.754,use,energy-home,"[""tumble"",""dryer"",""home"",""electricity""]",energy-home
dda30f13-5041-4606-a922-8c676ecd24f9,Canned soft drink,0.551,item,food-drink,"[""soft"",""drink"",""can"",""soda""]",food-drink
e0cf5c5f-c3f4-46e2-91ef-1307cff0dc1a,Charging smartphone,0.112,use,energy-home,"[""charging"",""phone"",""smartphone"",""home""]",energy-home
e3c68cee-514e-44ac-949f-b3fed29a050e,Sausage roll,2.612,item,food-drink,"[""sausage"",""roll"",""meat""]",food-drink
e6411561-48da-4c81-9205-697f606db864,Car - (Electric),0,km,travel,"[""car"",""electric"",""travel"",""journey""]",car
ef4d6a23-402c-4ebd-84a4-780cc60d4d4c,Printing documents,0.981,activity,lifestyle,"[""print"",""documents"",""paper""]",lifestyle
f09cc70d-57c1-410a-9b66-eff3ecee9340,Wasting food,3.245,activity,lifestyle,"[""food"",""waste""]",lifestyle
f0d0eb06-901d-41cd-8893-cd4519d47170,Charging EV,2.025,use,energy-home,"[""charging"",""ev"",""electric"",""car"",""home""]",energy-home
